Question,Answer
가이드 매칭은 어떻게 진행되나요?,"원하시는 지역, 날짜, 인원을 입력하면 조건에 맞는 가이드를 순차적으로 추천해 드립니다. 고객님이 추천된 가이드를 확인한 뒤 원하는 가이드를 선택하면 예약이 확정됩니다."
가이드를 직접 선택할 수 있나요?,"네, 추천된 가이드 목록이 제공되면 프로필, 후기, 가능 언어, 투어 경력을 비교한 뒤 직접 선택하실 수 있습니다."
매칭까지 얼마나 걸리나요?,일반적으로 요청 접수 후 24시간 이내에 1차 매칭 결과를 안내해 드립니다. 성수기나 특수 지역은 시간이 조금 더 걸릴 수 있습니다.
당일 예약도 가능한가요?,당일 예약은 가능한 가이드가 있을 경우에만 진행됩니다. 급한 예약은 요청 후 고객센터나 채팅으로 빠르게 문의해 주세요.
단체 여행도 가이드 매칭이 되나요?,"네, 가족 여행, 기업 워크숍, 학교 단체 등 단체 일정도 지원합니다. 인원수에 따라 한 명 이상의 가이드가 배정될 수 있습니다."
원하는 언어를 구사하는 가이드를 찾을 수 있나요?,"가능합니다. 한국어, 영어, 일본어, 중국어 등 가능한 언어 정보를 기준으로 맞춤형 가이드를 추천해 드립니다."
투어 일정은 제가 원하는 대로 조정할 수 있나요?,"네, 기본 일정안을 참고하되 고객님의 일정과 취향에 맞게 코스를 조정할 수 있습니다. 확정 전 가이드와 세부 내용을 협의하실 수 있습니다."
예약 요청 후 바로 확정되나요?,예약 요청 직후 자동 확정되는 것은 아닙니다. 가이드 가능 여부 확인과 일정 조율이 끝나면 최종 확정 안내를 드립니다.
여행 테마에 맞는 가이드를 추천받을 수 있나요?,"네, 맛집 투어, 역사 탐방, 가족 여행, 사진 명소 투어처럼 원하는 여행 테마에 맞춰 경험 있는 가이드를 추천해 드립니다."
특정 가이드를 다시 예약할 수 있나요?,이전에 이용했던 가이드가 같은 날짜에 가능하다면 재예약 요청이 가능합니다. 예약 문의 시 원하는 가이드 이름을 남겨 주세요.
결제는 언제 진행되나요?,"예약 확정 후 결제 안내가 발송되며, 안내된 기간 내에 결제를 완료하시면 최종 예약이 유지됩니다."
어떤 결제 수단을 사용할 수 있나요?,"신용카드, 체크카드, 계좌이체 등 주요 결제 수단을 지원합니다. 실제 제공 수단은 결제 페이지에서 확인하실 수 있습니다."
투어 전날 취소하면 환불이 되나요?,환불 가능 여부는 취소 시점과 상품 정책에 따라 달라집니다. 일반적으로 출발일에 가까울수록 환불 금액이 줄어들 수 있습니다.
예약 취소는 어디에서 하나요?,로그인 후 마이페이지의 예약 내역에서 취소 요청을 할 수 있습니다. 취소가 어려우면 고객센터를 통해서도 접수 가능합니다.
환불은 며칠 안에 처리되나요?,환불 승인 후 보통 영업일 기준 3일에서 7일 안에 처리됩니다. 카드사나 은행 일정에 따라 반영 시점은 달라질 수 있습니다.
가이드가 예약을 취소하면 전액 환불되나요?,"네, 가이드 측 사유로 예약이 진행되지 못한 경우에는 원칙적으로 전액 환불 또는 다른 가이드 재매칭을 안내해 드립니다."
부분 결제나 예약금만 먼저 낼 수 있나요?,상품에 따라 예약금 결제가 가능한 경우가 있습니다. 해당 여부는 예약 안내 또는 결제 단계에서 확인하실 수 있습니다.
영수증이나 결제 내역서를 받을 수 있나요?,"네, 결제 완료 후 마이페이지 또는 안내 메일에서 결제 내역을 확인할 수 있으며 필요한 경우 영수증 발급도 가능합니다."
우천이나 천재지변으로 투어가 취소되면 어떻게 되나요?,"안전상 진행이 어렵다고 판단되면 일정 변경, 대체 코스 제안 또는 환불 정책에 따라 후속 조치를 안내해 드립니다."
결제 후 날짜를 변경할 수 있나요?,가이드 일정이 가능하다면 날짜 변경 요청이 가능합니다. 다만 변경 시점에 따라 추가 비용이나 정책 제한이 있을 수 있습니다.
가이드의 자격증을 믿을 수 있나요?,플랫폼은 등록 과정에서 가이드의 신원 정보와 제출 서류를 확인합니다. 자격증 보유 여부는 프로필에 표시되며 필요한 경우 추가 확인 절차도 진행합니다.
가이드 신원 인증은 어떻게 하나요?,"가입 시 본인 확인 서류와 연락처 인증을 진행하며, 운영팀이 제출 정보를 검토한 뒤 활동 승인을 하고 있습니다."
가이드 후기는 실제 이용자 후기인가요?,"네, 후기 평점은 실제 예약을 완료한 이용자가 작성한 내용만 반영됩니다. 허위 후기 방지를 위해 내부 모니터링도 진행합니다."
가이드의 경력은 어디서 확인하나요?,"각 가이드 프로필 페이지에서 경력, 전문 분야, 가능 언어, 후기, 응답률 등을 확인하실 수 있습니다."
문제가 있었던 가이드는 신고할 수 있나요?,"네, 투어 후 신고 접수 또는 고객센터 문의를 통해 문제를 제보하실 수 있습니다. 운영팀이 사실 확인 후 필요한 조치를 진행합니다."
가이드는 모두 현지 전문가인가요?,"가이드는 지역 이해도, 여행 안내 경험, 의사소통 능력 등을 종합적으로 검토해 등록됩니다. 일부 지역은 현지 거주 가이드가 우선 배정될 수 있습니다."
가이드 평점이 낮으면 예약이 제한되나요?,"운영팀은 후기와 신고 이력을 지속적으로 점검하며, 서비스 기준에 미달하는 경우 활동 제한이나 재심사를 진행할 수 있습니다."
가이드 프로필 사진과 실제 인물이 다른 경우가 있나요?,프로필에는 본인 확인이 된 사진 사용을 원칙으로 하고 있습니다. 현장에서 차이가 크다면 즉시 고객센터로 알려 주세요.
전문 분야가 있는 가이드를 찾고 싶어요.,"역사, 미식, 쇼핑, 자연, 종교 문화 등 전문 분야 태그를 기준으로 적합한 가이드를 추천받을 수 있습니다."
가이드 교육이나 평가가 정기적으로 이루어지나요?,"네, 플랫폼은 서비스 품질 향상을 위해 운영 가이드라인 공유, 고객 피드백 점검, 필요 시 추가 교육을 진행합니다."
회원가입은 어떻게 하나요?,"홈페이지에서 이메일 또는 소셜 계정으로 가입할 수 있으며, 기본 정보 입력과 인증 절차를 완료하면 바로 이용 가능합니다."
비밀번호를 분실했어요.,로그인 화면의 비밀번호 재설정 메뉴를 이용해 주세요. 가입한 이메일로 재설정 링크가 발송됩니다.
이메일 주소를 변경할 수 있나요?,로그인 후 계정 설정에서 이메일 변경 가능 여부를 확인하실 수 있습니다. 보안상 추가 인증이 필요할 수 있습니다.
휴대폰 번호를 수정하고 싶어요.,마이페이지 또는 계정 설정 메뉴에서 휴대폰 번호를 수정할 수 있습니다. 일부 경우 본인 인증 절차가 다시 진행됩니다.
회원 탈퇴는 어디서 하나요?,계정 설정 메뉴에서 회원 탈퇴를 신청할 수 있습니다. 진행 중인 예약이 있으면 탈퇴 전에 먼저 정리가 필요할 수 있습니다.
로그인이 계속 실패해요.,입력한 이메일과 비밀번호를 다시 확인해 주세요. 같은 문제가 반복되면 비밀번호 재설정 후 다시 시도하거나 고객센터에 문의해 주세요.
예약 내역은 어디에서 확인하나요?,로그인 후 마이페이지의 예약 내역 메뉴에서 예정된 투어와 지난 예약 기록을 모두 확인할 수 있습니다.
알림 메시지가 오지 않아요.,스팸함과 앱 알림 설정을 먼저 확인해 주세요. 계속 수신되지 않으면 고객센터에서 계정 상태를 확인해 드립니다.
외국인도 회원가입할 수 있나요?,"네, 해외 이용자도 이메일과 기본 연락처 정보가 있으면 가입 가능한 경우가 많습니다. 일부 인증 절차는 국가별로 다를 수 있습니다."
여러 명이 하나의 계정을 함께 사용해도 되나요?,계정은 원칙적으로 1인 사용을 권장합니다. 예약 정보와 결제 정보 보호를 위해 공동 사용은 피하시는 것이 좋습니다.
약속 장소에 가이드가 안 나타나요.,"먼저 예약 확인 메시지의 연락처로 가이드에게 연락해 보시고, 연결이 되지 않으면 즉시 고객센터로 알려 주세요. 운영팀이 상황 확인 후 대체 안내를 드립니다."
투어 중 일정이 갑자기 변경됐어요.,현장 상황에 따라 일정이 일부 조정될 수 있습니다. 큰 변경이 있거나 동의하지 않은 내용이라면 고객센터에 알려 주시면 확인을 도와드립니다.
가이드와 연락이 잘 안 돼요.,"플랫폼 메시지와 등록된 연락처로 다시 시도해 보신 뒤, 일정이 임박했는데도 연결이 안 되면 고객센터로 문의해 주세요."
투어 도중 분실물이 생겼어요.,"가이드와 마지막 방문 장소에 먼저 확인해 보시고, 플랫폼에도 분실물 접수를 남겨 주시면 확인을 도와드립니다."
현장에서 추가 비용을 요구받았어요.,사전에 안내되지 않은 비용이라면 바로 결제하지 마시고 세부 내용을 고객센터에 알려 주세요. 운영팀이 예약 조건을 확인해 드립니다.
투어가 기대와 많이 달랐어요.,이용 후 후기 작성 또는 고객센터 문의를 통해 상세 내용을 남겨 주세요. 서비스 품질 확인 후 필요한 보상 또는 후속 조치를 검토합니다.
긴급 상황이 생기면 어떻게 해야 하나요?,"안전이 우선이므로 현지 긴급기관에 먼저 도움을 요청한 뒤, 가능한 경우 플랫폼 고객센터에도 상황을 알려 주세요."
가이드와 언어 소통이 잘 안 돼요.,현장에서 소통 문제가 크다면 즉시 플랫폼 채팅이나 고객센터로 알려 주세요. 가능한 대체 지원 방법을 안내해 드립니다.
후기는 어디에 남길 수 있나요?,투어 종료 후 마이페이지의 예약 내역에서 후기와 평점을 남기실 수 있습니다. 작성된 후기는 다른 이용자에게도 도움이 됩니다.
고객센터 운영 시간은 언제인가요?,고객센터 운영 시간은 공지사항 또는 사이트 하단 안내에서 확인하실 수 있습니다. 운영 시간 외 문의는 접수 후 순차적으로 답변드립니다.